setup	msprime_seed	slim_burnin_seed	slim_demography_seed	deviating_pop	opt_of_dev_pop	opt_of_p6	opt_of_UK	w	fitness_w_dev_pop	fitness_w_UK				
251	1187113369	8510844667907804	5527927395887673	-1	0	0	0	5	5	5	0.5	1	0.05	0.5
252	1187113369	8510844667907804	9989453391171990	3	1	0.78	0.42	5	5	5	0.5	1	0.05	0.5
253	1187113369	8510844667907804	8224216643720865	4	1	0.22	0.12	5	5	5	0.5	1	0.05	0.5
254	1187113369	8510844667907804	8730606676544994	5	1	0	0.46	5	5	5	0.5	1	0.05	0.5
255	1187113369	8510844667907804	8367293542250991	-1	0	0	2	5	5	5	0.5	1	0.05	0.5
256	1187113369	8510844667907804	4076058058999479	-1	0	2	0.88	5	5	5	0.5	1	0.05	0.5
257	1187113369	8510844667907804	6163876694627106	3	1	1	1	5	5	5	0.5	1	0.05	0.5
258	1187113369	8510844667907804	2320439736358822	4	1	1	1	5	5	5	0.5	1	0.05	0.5
259	1187113369	8510844667907804	8624317725189030	5	1	0	1	5	5	5	0.5	1	0.05	0.5
260	1187113369	8510844667907804	9369985081721100	3	1	0	0	5	5	5	0.5	1	0.05	0.5
261	1187113369	8510844667907804	2501493815798312	4	1	0	0	5	5	5	0.5	1	0.05	0.5
262	1187113369	8510844667907804	641818079166114	5	1	0	0	5	5	5	0.5	1	0.05	0.5
263	1187113369	8510844667907804	410833791829646	3	1	0.78	2	5	5	5	0.5	1	0.05	0.5
264	1187113369	8510844667907804	4144343913067132	4	1	0.22	2	5	5	5	0.5	1	0.05	0.5
265	1187113369	8510844667907804	5074173379689455	5	1	0	2	5	5	5	0.5	1	0.05	0.5
266	1162971104	633611425291747	9106050021946430	-1	0	0	0	5	5	5	0.5	1	0.05	0.5
267	1162971104	633611425291747	8046877256128937	3	1	0.78	0.42	5	5	5	0.5	1	0.05	0.5
268	1162971104	633611425291747	8880101684480906	4	1	0.22	0.12	5	5	5	0.5	1	0.05	0.5
269	1162971104	633611425291747	1009537980426103	5	1	0	0.46	5	5	5	0.5	1	0.05	0.5
270	1162971104	633611425291747	4928375906310976	-1	0	0	2	5	5	5	0.5	1	0.05	0.5
271	1162971104	633611425291747	6905109544750303	-1	0	2	0.88	5	5	5	0.5	1	0.05	0.5
272	1162971104	633611425291747	104680936783552	3	1	1	1	5	5	5	0.5	1	0.05	0.5
273	1162971104	633611425291747	1238646074198186	4	1	1	1	5	5	5	0.5	1	0.05	0.5
274	1162971104	633611425291747	1793749770149588	5	1	0	1	5	5	5	0.5	1	0.05	0.5
275	1162971104	633611425291747	3414221184793860	3	1	0	0	5	5	5	0.5	1	0.05	0.5
